Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
Fly Frogs,1.77 ETH,74,"1,871.31 ETH",10886,0.02 ETH,9999,3927,39.27%,238.28 ETH,2021/10/06,,,,
Women and Weapons,40.58 ETH,270,"1,795.07 ETH",10657,0.15 ETH,10000,4930,49.30%,"1,522.34 ETH",2021/11/01,,,,
COVIDPunks!,0.38 ETH,22,"1,792.79 ETH",10166,0.02 ETH,10000,3855,38.55%,170.68 ETH,2021/08/08,,,,
$LONDON Gift,6.58 ETH,41,"1,780.73 ETH",7076,0.16 ETH,8887,2766,31.12%,"1,426.47 ETH",2021/08/09,,,,
Weird Whales,1.47 ETH,9,"1,780.05 ETH",7416,0.16 ETH,3350,1632,48.72%,546.05 ETH,2021/07/22,,,,
Tools Of Rock,3.32 ETH,76,"1,773.51 ETH",6552,0.04 ETH,7688,2353,30.61%,336.26 ETH,2021/08/24,,,,
Guardians of the Metaverse,2.52 ETH,52,"1,766.60 ETH",9622,0.05 ETH,10000,4278,42.78%,482.26 ETH,2021/09/14,,,,
Rebel Seals Club | RSC,3.79 ETH,74,"1,760.82 ETH",8534,0.05 ETH,9998,2728,27.29%,507.19 ETH,2021/10/13,,,,
Uninterested Unicorns,8.66 ETH,41,"1,750.28 ETH",2501,0.21 ETH,6899,1405,20.37%,"1,457.03 ETH",2021/09/19,,,,
Top Dog Beach Club,9.33 ETH,49,"1,681.86 ETH",8654,0.19 ETH,8000,2839,35.49%,"1,523.25 ETH",2021/07/08,,,,
Satoshibles,5.40 ETH,24,"1,659.47 ETH",6072,0.22 ETH,5000,1618,32.36%,"1,124.12 ETH",2021/08/12,,,,
Koin Games Dev Squad,36.53 ETH,74,"1,585.07 ETH",5227,0.49 ETH,5555,1855,33.39%,"2,742.32 ETH",2021/09/12,,,,
Non-Fungible Heroes,6.56 ETH,122,"1,583.94 ETH",9116,0.05 ETH,8888,3501,39.39%,477.76 ETH,2021/09/21,,,,
DarkSuperBunnies,0.18 ETH,11,"1,551.70 ETH",4731,0.02 ETH,5000,1810,36.20%,89.55 ETH,2021/09/01,,,,
The Lost Glitches,1.79 ETH,52,"1,534.76 ETH",6868,0.04 ETH,9999,3383,33.83%,364.20 ETH,2021/08/26,,,,
Mandelbrot Set Collection,0.13 ETH,7,"1,528.33 ETH",2517,0.02 ETH,1978,992,50.15%,35.60 ETH,2021/09/12,,,,
Sidus NFT Heroes,203.65 ETH,179,"1,518.00 ETH",3449,1.14 ETH,5149,1371,26.63%,"5,857.97 ETH",2021/09/22,,,,
Woodies Generative Characters,10.52 ETH,54,"1,511.71 ETH",2717,0.19 ETH,6276,2610,41.59%,"1,223.18 ETH",2021/10/07,,,,
Dope Shibas,0.59 ETH,28,"1,507.73 ETH",11268,0.02 ETH,9899,3827,38.66%,207.53 ETH,2021/08/14,,,,
ArcadeNFT,5.94 ETH,19,"1,506.70 ETH",4296,0.45 ETH,6066,3183,52.47%,"2,728.69 ETH",2021/12/02,,,,
Loopy Donuts,18.67 ETH,142,"1,497.18 ETH",10632,0.13 ETH,10000,3809,38.09%,"1,301.69 ETH",2021/09/27,,,,
CHIBI DINOS,4.92 ETH,72,"1,453.29 ETH",11445,0.07 ETH,10000,3584,35.84%,683.00 ETH,2021/08/23,,,,
AlphaBetty Doodles,0.43 ETH,32,"1,440.81 ETH",11367,0.01 ETH,10000,3498,34.98%,141.56 ETH,2021/08/08,,,,
Dogs Unchained,1.00 ETH,22,"1,431.27 ETH",4973,0.05 ETH,6020,2211,36.73%,272.76 ETH,2021/09/13,,,,
GRILLZ GANG,0.53 ETH,15,"1,427.28 ETH",3343,0.04 ETH,5360,3006,56.08%,189.57 ETH,2021/10/01,,,,
Bad Bunnies NFT,3.89 ETH,37,"1,424.32 ETH",6309,0.11 ETH,5500,1872,34.04%,578.91 ETH,2021/09/29,,,,
Bonsai by ZENFT,1.83 ETH,17,"1,422.94 ETH",6587,0.11 ETH,8888,2733,30.75%,956.24 ETH,2021/06/02,,,,
LightSuperBunnies,0.35 ETH,16,"1,416.09 ETH",4137,0.02 ETH,5000,1799,35.98%,108.44 ETH,2021/09/01,,,,
Chibi Apes,11.83 ETH,73,"1,403.11 ETH",5042,0.16 ETH,3000,1793,59.77%,485.97 ETH,2021/09/12,,,,
Astro Frens,1.05 ETH,21,"1,375.77 ETH",5970,0.05 ETH,9940,2809,28.26%,484.45 ETH,2021/09/10,,,,
Great Ape Society,9.83 ETH,106,"1,356.75 ETH",10803,0.09 ETH,10000,4102,41.02%,926.90 ETH,2021/08/08,,,,
Secret Soc. of Whales,6.61 ETH,81,"1,354.66 ETH",9299,0.08 ETH,10000,4211,42.11%,815.43 ETH,2021/08/18,,,,
Magic Mushroom Clubhouse,13.97 ETH,177,"1,351.35 ETH",8696,0.08 ETH,9200,4415,47.99%,724.75 ETH,2021/09/29,,,,
BlockchainBikers,0.27 ETH,29,"1,328.87 ETH",6906,0.01 ETH,11106,4605,41.46%,105.27 ETH,2021/08/28,,,,
Sad Girls Bar,3.66 ETH,58,"1,295.40 ETH",8009,0.06 ETH,10000,4291,42.91%,631.60 ETH,2021/09/27,,,,
OctoHedz,3.40 ETH,3,"1,290.95 ETH",583,1.13 ETH,888,375,42.23%,"1,006.40 ETH",2021/10/26,,,,
Fast Food Frens Collection,3.91 ETH,48,"1,289.69 ETH",5455,0.08 ETH,5555,1943,34.98%,452.72 ETH,2021/08/31,,,,
Knights of Degen - Knights!,35.23 ETH,178,"1,269.00 ETH",5405,0.20 ETH,8853,2548,28.78%,"1,752.05 ETH",2021/10/20,,,,
MOONDOGS ODYSSEY,0.44 ETH,26,"1,258.33 ETH",5488,0.02 ETH,5000,1889,37.78%,81.72 ETH,2021/08/14,,,,
Wonky Stonks,8.77 ETH,72,"1,257.60 ETH",6435,0.12 ETH,8736,4846,55.47%,"1,064.03 ETH",2021/10/26,,,,
The Moon Boyz,17.21 ETH,154,"1,255.66 ETH",5848,0.11 ETH,11110,3311,29.80%,"1,241.61 ETH",2021/09/20,,,,
Avarik Saga Universe,41.06 ETH,395,"1,224.58 ETH",8861,0.10 ETH,8888,2975,33.47%,923.91 ETH,2021/10/04,,,,
HappyLand Gummy Bears,0.36 ETH,20,"1,217.09 ETH",9281,0.02 ETH,9600,4072,42.42%,174.96 ETH,2021/08/20,,,,
Shabu Town Shibas,0.07 ETH,15,"1,207.56 ETH",6634,0.00 ETH,10000,3000,30.00%,44.73 ETH,2021/08/29,,,,
Heroes of Evermore,9.14 ETH,95,"1,207.51 ETH",6101,0.09 ETH,9999,2236,22.36%,902.14 ETH,2021/09/10,,,,
Wicked Hound Bone Club,1.23 ETH,45,"1,201.70 ETH",7290,0.03 ETH,11111,3875,34.88%,303.28 ETH,2021/09/15,,,,
Super Yeti,0.82 ETH,29,"1,198.40 ETH",9549,0.03 ETH,10000,3895,38.95%,281.26 ETH,2021/06/15,,,,
Bubblegum Kids,77.54 ETH,474,"1,183.69 ETH",8746,0.16 ETH,10000,3452,34.52%,"1,635.78 ETH",2021/10/05,,,,
Bastard Penguins,0.75 ETH,61,"1,176.21 ETH",12528,0.01 ETH,9999,3924,39.24%,124.27 ETH,2021/10/03,,,,
Krazy Koalas NFT,0.36 ETH,49,"1,173.12 ETH",10275,0.01 ETH,9999,3609,36.09%,74.03 ETH,2021/08/23,,,,
8 BIT UNIVERSE,0.10 ETH,10,"1,164.25 ETH",7583,0.01 ETH,8887,3392,38.17%,107.13 ETH,2021/08/26,,,,
Glue Factory Show,1.39 ETH,18,"1,157.66 ETH",7109,0.07 ETH,10000,3560,35.60%,744.58 ETH,2021/08/12,,,,
Savage Droids,27.24 ETH,316,"1,155.90 ETH",7058,0.09 ETH,7277,2302,31.63%,627.28 ETH,2021/09/19,,,,
Toy Boogers,82.77 ETH,235,"1,147.96 ETH",3509,0.35 ETH,3334,1632,48.95%,"1,174.29 ETH",2021/12/02,,,,
Angry Apes United,31.39 ETH,166,"1,145.18 ETH",5485,0.19 ETH,8888,4724,53.15%,"1,680.78 ETH",2021/11/29,,,,
Zunks,21.03 ETH,186,"1,142.81 ETH",9198,0.11 ETH,10000,3329,33.29%,"1,130.73 ETH",2021/08/14,,,,
Gutter Pigeons,84.39 ETH,96,"1,135.00 ETH",1217,0.87 ETH,2833,1849,65.27%,"2,476.41 ETH",2021/10/06,,,,
Derpy Birbs,0.28 ETH,24,"1,130.57 ETH",4832,0.01 ETH,8192,1812,22.12%,95.10 ETH,2021/08/17,,,,
thedudes,4.89 ETH,3,"1,116.99 ETH",550,1.63 ETH,512,262,51.17%,834.56 ETH,2021/08/04,,,,
THE PLUTO ALLIANCE,13.48 ETH,57,"1,110.62 ETH",4984,0.22 ETH,10000,3135,31.35%,"2,165.89 ETH",2021/09/23,,,,
Mad Rabbits Riot Club,21.39 ETH,117,"1,106.39 ETH",5848,0.18 ETH,7500,2545,33.93%,"1,371.20 ETH",2021/10/14,,,,
Crypto Duckies,5.25 ETH,40,"1,087.18 ETH",11528,0.13 ETH,4998,2025,40.52%,656.05 ETH,2021/09/15,,,,
The CryptoBabyPunks,2.14 ETH,5,"1,086.45 ETH",2034,0.43 ETH,999,478,47.85%,427.37 ETH,2021/06/15,,,,
Roaring Leaders,39.38 ETH,207,"1,060.50 ETH",6171,0.19 ETH,8245,1759,21.33%,"1,568.70 ETH",2021/09/30,,,,
Flowtys,2.78 ETH,65,"1,059.70 ETH",7480,0.04 ETH,10000,3783,37.83%,427.72 ETH,2021/09/30,,,,
Warriors of Aradena,3.95 ETH,38,"1,056.11 ETH",7959,0.10 ETH,8000,2106,26.33%,807.67 ETH,2021/08/18,,,,
Divine Zodiac,0.55 ETH,31,"1,054.89 ETH",10244,0.02 ETH,9998,3620,36.21%,178.67 ETH,2021/07/15,,,,
GenX by HOK,8.16 ETH,114,"1,053.57 ETH",5237,0.07 ETH,9999,3229,32.29%,715.89 ETH,2021/11/05,,,,
Super Shiba Club,0.45 ETH,40,"1,044.35 ETH",6758,0.02 ETH,10010,2849,28.46%,166.31 ETH,2021/10/12,,,,
Rivermen,0.16 ETH,3,"1,042.16 ETH",3151,0.05 ETH,9967,1401,14.06%,544.86 ETH,2021/08/27,,,,
Crypto Hodlers NFT,0.74 ETH,38,"1,011.89 ETH",6564,0.02 ETH,10000,1879,18.79%,193.92 ETH,2021/07/14,,,,
Monster Blocks - Official,0.41 ETH,28,"1,010.38 ETH",7578,0.01 ETH,9040,2102,23.25%,133.28 ETH,2021/08/20,,,,
My Fucking Pickle,0.35 ETH,27,"1,008.08 ETH",13001,0.01 ETH,10000,2771,27.71%,127.78 ETH,2021/07/03,,,,
Dirtybird Flight Club,1.74 ETH,76,"1,003.37 ETH",6420,0.02 ETH,9090,3544,38.99%,210.27 ETH,2021/10/09,,,,
PunkScapes,3.73 ETH,68,991.18 ETH,6036,0.06 ETH,10000,3665,36.65%,581.90 ETH,2021/10/28,,,,
Deez Nuts (Official Nuts),51.88 ETH,322,988.06 ETH,6238,0.16 ETH,10000,3882,38.82%,"1,611.11 ETH",2021/10/13,,,,
Pixls Official,0.32 ETH,4,984.56 ETH,3550,0.08 ETH,5468,1544,28.24%,436.07 ETH,2021/07/07,,,,
The Evolving Forest Genesis,2.31 ETH,40,975.15 ETH,5003,0.06 ETH,9339,1638,17.54%,538.39 ETH,2021/10/22,,,,
Long Neckie Ladies,4.30 ETH,22,968.96 ETH,3893,0.20 ETH,3333,1440,43.20%,651.07 ETH,2021/07/30,,,,
HOF Goat Lodge,1.38 ETH,39,949.97 ETH,7862,0.04 ETH,10000,2849,28.49%,353.74 ETH,2021/07/25,,,,
Angry Ape Army,50.50 ETH,92,934.09 ETH,2141,0.55 ETH,3333,1321,39.63%,"1,829.49 ETH",2021/11/23,,,,
FoxyFam,2.00 ETH,23,927.25 ETH,3673,0.09 ETH,3333,1468,44.04%,289.10 ETH,2021/09/30,,,,
Sipherian Flash,46.26 ETH,212,911.05 ETH,4095,0.22 ETH,10000,3839,38.39%,"2,183.87 ETH",2021/11/23,,,,
BlankFace,0.12 ETH,25,891.50 ETH,8547,0.00 ETH,10000,5161,51.61%,49.80 ETH,2021/09/23,,,,
Degenz,0.11 ETH,4,889.97 ETH,8719,0.03 ETH,11111,1493,13.44%,318.33 ETH,2021/07/06,,,,
BULLSEUM,0.94 ETH,20,889.78 ETH,4206,0.05 ETH,4998,1954,39.10%,234.38 ETH,2021/08/29,,,,
Lucky Maneki,0.37 ETH,25,881.88 ETH,8361,0.01 ETH,14215,3120,21.95%,208.86 ETH,2021/07/14,,,,
BitcoinBillionaires,17.10 ETH,134,877.40 ETH,5437,0.13 ETH,13337,5259,39.43%,"1,702.12 ETH",2021/11/04,,,,
The Soldiers Of The Metaverse,1.42 ETH,47,876.59 ETH,6581,0.03 ETH,7500,2462,32.83%,227.36 ETH,2021/10/11,,,,
ChainFaces,0.92 ETH,8,876.39 ETH,3868,0.12 ETH,10000,1214,12.14%,"1,153.75 ETH",2021/08/08,,,,
Wanna Panda,0.61 ETH,29,873.27 ETH,6599,0.02 ETH,10000,2871,28.71%,211.86 ETH,2021/10/09,,,,
Slumdoge Billionaires,0.75 ETH,30,873.17 ETH,7343,0.02 ETH,9997,2445,24.46%,246.49 ETH,2021/06/22,,,,
CanineCartel,0.36 ETH,28,860.15 ETH,7249,0.01 ETH,10000,4179,41.79%,127.38 ETH,2021/08/29,,,,
ETHEREALS WTF,1.58 ETH,95,843.92 ETH,7636,0.02 ETH,12345,4831,39.13%,205.38 ETH,2021/10/11,,,,
Crypto Corgis,5.08 ETH,33,841.74 ETH,4968,0.15 ETH,10000,4042,40.42%,"1,539.58 ETH",2021/08/17,,,,
ThorGuards,28.44 ETH,100,828.59 ETH,3093,0.28 ETH,9999,2854,28.54%,"2,844.11 ETH",2021/11/22,,,,
Arabian Camels,3.16 ETH,59,812.73 ETH,12397,0.05 ETH,12012,3062,25.49%,643.46 ETH,2021/06/03,,,,
Skvllpvnkz Hideout,13.08 ETH,129,806.37 ETH,7367,0.10 ETH,10000,3482,34.82%,"1,011.49 ETH",2021/09/14,,,,
Based Fish Mafia,7.92 ETH,121,796.95 ETH,7451,0.07 ETH,10000,2564,25.64%,654.24 ETH,2021/08/27,,,,
CryptoMutts,2.44 ETH,40,790.26 ETH,6071,0.06 ETH,10000,2197,21.97%,597.39 ETH,2021/10/19,,,,
Lysergic Labs Shroomz,0.23 ETH,17,782.56 ETH,5934,0.01 ETH,8590,3086,35.93%,117.33 ETH,2021/09/08,,,,
Ciphersquares Official,0.11 ETH,79,767.61 ETH,4193,0.00 ETH,3623,1217,33.59%,2.87 ETH,2021/08/22,,,,
Spookies NFT,0.33 ETH,28,756.86 ETH,7418,0.01 ETH,8888,2642,29.73%,104.34 ETH,2021/07/31,,,,
Superfuzz The Good Guys,0.59 ETH,30,747.20 ETH,6035,0.02 ETH,7650,3231,42.24%,151.06 ETH,2021/10/03,,,,
WE ARE THE OUTKAST,5.24 ETH,141,724.17 ETH,8142,0.04 ETH,10000,3691,36.91%,371.45 ETH,2021/10/07,,,,
Ethereans Official,5.63 ETH,58,722.97 ETH,4696,0.10 ETH,11000,2767,25.15%,"1,067.00 ETH",2021/09/09,,,,
Holy Cows,0.62 ETH,33,718.88 ETH,5166,0.02 ETH,5000,1716,34.32%,93.45 ETH,2021/09/18,,,,
Dreamloops,1.20 ETH,24,710.42 ETH,9055,0.05 ETH,9502,1875,19.73%,475.10 ETH,2021/06/15,,,,
Angry Boars,4.47 ETH,73,710.02 ETH,6922,0.06 ETH,10000,3432,34.32%,608.14 ETH,2021/09/23,,,,
The Ninja Hideout,0.69 ETH,27,702.91 ETH,6675,0.03 ETH,8885,3285,36.97%,226.04 ETH,2021/09/29,,,,
CryptoFighters,0.49 ETH,6,695.31 ETH,5758,0.08 ETH,4953,1289,26.02%,407.80 ETH,2021/08/27,,,,
TinyPaws,0.14 ETH,19,694.98 ETH,5076,0.01 ETH,5582,2386,42.74%,41.63 ETH,2021/10/07,,,,
Lumps World,0.95 ETH,1,683.61 ETH,1036,0.95 ETH,500,295,59.00%,475.00 ETH,2021/08/24,,,,
Doodled Punks (DUNKS),666.39 ETH,2363,666.39 ETH,2363,0.28 ETH,2500,1265,50.60%,705.03 ETH,2021/12/08,,,,
The Modz,6.91 ETH,107,660.41 ETH,6540,0.06 ETH,5463,2679,49.04%,351.74 ETH,2021/11/02,,,,
BearsOnTheBlock,1.80 ETH,47,656.34 ETH,4130,0.04 ETH,9495,3148,33.15%,360.85 ETH,2021/08/08,,,,
The Dreamers,6.56 ETH,128,654.16 ETH,5747,0.05 ETH,13615,4381,32.18%,691.98 ETH,2021/11/03,,,,
BroadcastersNFT,1.31 ETH,110,649.72 ETH,6340,0.01 ETH,7777,2568,33.02%,92.86 ETH,2021/09/25,,,,
SpaceBoysNFT,1.22 ETH,52,649.47 ETH,8824,0.02 ETH,8888,4459,50.17%,211.91 ETH,2021/10/04,,,,
Dark Horizon,1.36 ETH,65,647.78 ETH,5423,0.02 ETH,8686,3250,37.42%,181.87 ETH,2021/10/13,,,,
Genesis Blocks Art,0.01 ETH,2,640.66 ETH,3151,0.01 ETH,2500,1242,49.68%,18.63 ETH,2021/09/19,,,,
Gorilla Nemesis,0.74 ETH,16,639.52 ETH,4569,0.05 ETH,5000,1296,25.92%,233.97 ETH,2021/07/08,,,,
Notorious Frogs,3.82 ETH,49,628.94 ETH,3967,0.08 ETH,10000,2581,25.81%,779.57 ETH,2021/09/30,,,,
TheDiamondHands,1.24 ETH,90,628.68 ETH,5506,0.01 ETH,11111,2536,22.82%,149.60 ETH,2021/10/27,,,,
Sora's DreamworId,0.80 ETH,84,622.21 ETH,5742,0.01 ETH,10000,3933,39.33%,94.67 ETH,2021/10/16,,,,
Choadz,0.49 ETH,18,620.08 ETH,1907,0.03 ETH,4917,2336,47.51%,134.03 ETH,2021/10/28,,,,
Uncool Cats NFT,48.87 ETH,631,620.07 ETH,4992,0.08 ETH,6969,2416,34.67%,539.73 ETH,2021/11/30,,,,
EtherGals,1.06 ETH,23,615.70 ETH,5442,0.04 ETH,5536,2255,40.73%,237.56 ETH,2021/10/05,,,,
Untamed Elephants,1.14 ETH,31,612.41 ETH,8060,0.04 ETH,7500,2935,39.13%,276.51 ETH,2021/07/04,,,,
POW NFT,0.05 ETH,3,609.95 ETH,2309,0.02 ETH,5820,1714,29.45%,100.88 ETH,2021/07/13,,,,
Dizzy Dragons,0.90 ETH,19,603.68 ETH,5503,0.05 ETH,5593,2068,36.97%,264.34 ETH,2021/08/03,,,,
ApesOfSpace,35.44 ETH,417,592.10 ETH,9259,0.08 ETH,10000,4780,47.80%,849.83 ETH,2021/08/14,,,,
Barn Owlz,5.10 ETH,63,590.78 ETH,4873,0.08 ETH,3000,1239,41.30%,242.71 ETH,2021/07/26,,,,
Nobodyeth.art,2.04 ETH,40,580.27 ETH,3367,0.05 ETH,3210,1220,38.01%,159.11 ETH,2021/10/01,,,,
Tokenmon,0.00 ETH,5,578.07 ETH,5047,0.00 ETH,10419,2013,19.32%,8.54 ETH,2021/09/07,,,,
COOL DOGS Official,14.35 ETH,211,577.36 ETH,4312,0.07 ETH,5000,2381,47.62%,339.98 ETH,2021/12/06,,,,
CryptoTrunks,0.45 ETH,5,575.58 ETH,3092,0.08 ETH,23498,11599,49.36%,"1,832.84 ETH",2021/08/14,,,,
StripperVille NFTs,1.97 ETH,24,566.41 ETH,2918,0.08 ETH,3010,884,29.37%,247.07 ETH,2021/08/22,,,,
Cunning Foxes,0.44 ETH,19,553.95 ETH,13555,0.02 ETH,8864,3828,43.19%,205.17 ETH,2021/07/25,,,,
Lucky Sloths NFT,0.48 ETH,27,553.34 ETH,7049,0.02 ETH,2700,1255,46.48%,48.00 ETH,2021/10/11,,,,
STRAWBERRY.WTF,0.05 ETH,8,547.25 ETH,5288,0.01 ETH,9979,3279,32.86%,61.25 ETH,2021/07/06,,,,
Ninja Squad Official,11.63 ETH,173,543.08 ETH,4052,0.07 ETH,8888,3261,36.69%,597.25 ETH,2021/11/26,,,,
Save the Martians,0.74 ETH,50,531.74 ETH,10005,0.01 ETH,14282,3907,27.36%,212.09 ETH,2021/08/14,,,,
MetaTravelers: Nibiru,20.70 ETH,252,526.83 ETH,3728,0.08 ETH,7777,3219,41.39%,638.71 ETH,2021/11/30,,,,
Lamb Duhs,0.52 ETH,28,520.76 ETH,7189,0.02 ETH,8500,2624,30.87%,159.32 ETH,2021/08/23,,,,
NFTheo,0.49 ETH,26,520.46 ETH,2269,0.02 ETH,2948,1187,40.26%,55.33 ETH,2021/09/28,,,,
Lockdown Lemmings,0.19 ETH,18,518.84 ETH,7622,0.01 ETH,9997,3788,37.89%,107.13 ETH,2021/09/21,,,,
Lost Souls Sanctuary,0.35 ETH,16,514.70 ETH,4444,0.02 ETH,9998,1878,18.78%,220.21 ETH,2021/08/18,,,,
Bad Kids Alley Official,0.21 ETH,25,512.52 ETH,5061,0.01 ETH,8888,3246,36.52%,75.65 ETH,2021/09/20,,,,
OctoHedz Reloaded,2.24 ETH,62,511.68 ETH,3795,0.04 ETH,8001,1984,24.80%,288.99 ETH,2021/10/25,,,,
The WonderQuest,0.03 ETH,13,505.39 ETH,3920,0.00 ETH,10000,2741,27.41%,22.62 ETH,2021/08/14,,,,
Tie Dye Ninjas,0.55 ETH,18,491.42 ETH,4287,0.03 ETH,7777,2760,35.49%,227.05 ETH,2021/09/13,,,,
The Wicked Stallions,0.08 ETH,12,476.45 ETH,3909,0.01 ETH,9814,2849,29.03%,68.71 ETH,2021/08/05,,,,
CrazySkullzNFT,3.28 ETH,93,475.16 ETH,5162,0.04 ETH,10008,2871,28.69%,352.51 ETH,2021/10/15,,,,
Buzzed Bear Hideout,3.83 ETH,69,470.00 ETH,6290,0.06 ETH,9999,2567,25.67%,555.01 ETH,2021/08/12,,,,
Standametti,0.47 ETH,21,469.54 ETH,3411,0.02 ETH,4331,1807,41.72%,97.20 ETH,2021/11/10,,,,
Citizens of Bulliever Island,3.14 ETH,50,460.46 ETH,3695,0.06 ETH,10000,2271,22.71%,627.34 ETH,2021/08/13,,,,
Bear Market Bears,0.01 ETH,8,458.26 ETH,5943,0.00 ETH,9943,2960,29.77%,12.43 ETH,2021/10/05,,,,
Slacker Duck Pond,1.17 ETH,54,455.74 ETH,7270,0.02 ETH,6000,1940,32.33%,130.36 ETH,2021/06/26,,,,
Lostboy NFT,0.66 ETH,46,455.20 ETH,5721,0.01 ETH,10000,3730,37.30%,142.48 ETH,2021/08/26,,,,
HODL GANG,0.23 ETH,11,453.40 ETH,2922,0.02 ETH,3000,1026,34.20%,59.23 ETH,2021/08/07,,,,
Space Dinos Club,2.02 ETH,42,449.22 ETH,1970,0.05 ETH,9518,3913,41.11%,454.60 ETH,2021/09/13,,,,
HashGuise Gen One,0.05 ETH,15,439.10 ETH,3561,0.00 ETH,8767,2400,27.38%,28.31 ETH,2021/10/01,,,,
The BirdHouse,0.16 ETH,6,437.52 ETH,5406,0.03 ETH,5999,1972,32.87%,163.57 ETH,2021/08/15,,,,
AfroDroids By Owo,0.82 ETH,58,437.42 ETH,4794,0.01 ETH,12115,3536,29.19%,171.18 ETH,2021/09/08,,,,
PunkCats,0.63 ETH,6,435.05 ETH,1989,0.10 ETH,1000,459,45.90%,104.57 ETH,2021/08/05,,,,
Spunks,0.20 ETH,6,433.64 ETH,2001,0.03 ETH,10000,1192,11.92%,338.33 ETH,2021/06/30,,,,
Pixel Foxes Official,0.60 ETH,38,425.50 ETH,6356,0.02 ETH,10000,3216,32.16%,151.46 ETH,2021/10/16,,,,
BlazedCats,0.12 ETH,21,419.96 ETH,5536,0.01 ETH,9950,3176,31.92%,62.19 ETH,2021/07/28,,,,
Galactic Secret Agency,0.18 ETH,12,419.49 ETH,5831,0.02 ETH,9999,2564,25.64%,153.32 ETH,2021/07/20,,,,
Reb3l Bots,12.49 ETH,92,416.48 ETH,5742,0.14 ETH,10000,2651,26.51%,"1,365.56 ETH",2021/08/04,,,,
The CryptoMoms,3.34 ETH,52,409.75 ETH,1630,0.06 ETH,8785,7208,82.05%,563.49 ETH,2021/10/24,,,,
Cypher City,0.25 ETH,14,409.41 ETH,6035,0.02 ETH,8886,2626,29.55%,167.06 ETH,2021/07/26,,,,
Pirate Treasure BC,0.15 ETH,16,403.04 ETH,6507,0.01 ETH,4946,1648,33.32%,46.93 ETH,2021/06/17,,,,
Sewer Rat Social Club,0.67 ETH,14,400.10 ETH,5120,0.05 ETH,8888,2326,26.17%,425.10 ETH,2021/07/02,,,,
The WynLambo,2.83 ETH,64,398.87 ETH,3074,0.04 ETH,9999,2649,26.49%,421.30 ETH,2021/09/29,,,,
Sushiverse,0.69 ETH,26,390.69 ETH,4579,0.03 ETH,10000,3629,36.29%,264.62 ETH,2021/09/07,,,,
Primate Social Society Official,4.67 ETH,59,389.01 ETH,4549,0.08 ETH,10000,2492,24.92%,792.03 ETH,2021/09/25,,,,
PugFrens,0.05 ETH,20,385.20 ETH,5069,0.00 ETH,8787,3481,39.62%,21.53 ETH,2021/10/04,,,,
WeMint Washington,0.31 ETH,40,384.90 ETH,6634,0.01 ETH,10000,3633,36.33%,76.50 ETH,2021/11/19,,,,
Baby Combat Bots G1,0.00 ETH,6,367.21 ETH,2540,0.00 ETH,3498,1412,40.37%,0.00 ETH,2021/08/31,,,,
Chubbiverse Frens,6.39 ETH,93,367.16 ETH,2821,0.07 ETH,8888,2230,25.09%,600.94 ETH,2021/11/23,,,,
RichKidsOfficial,0.38 ETH,23,366.64 ETH,3609,0.02 ETH,7389,3096,41.90%,112.39 ETH,2021/10/06,,,,
Mutant-Gorillas,5.24 ETH,126,366.21 ETH,2752,0.04 ETH,8903,1428,16.04%,369.92 ETH,2021/11/29,,,,
Stoned Apez Saturn Club,3.09 ETH,119,363.51 ETH,4399,0.03 ETH,6969,2141,30.72%,180.69 ETH,2021/10/27,,,,
Boring Bananas Co.,0.11 ETH,13,360.75 ETH,8692,0.01 ETH,8888,2177,24.49%,93.44 ETH,2021/06/30,,,,
Epic Eagles,0.93 ETH,49,354.25 ETH,7066,0.02 ETH,7676,3595,46.83%,145.97 ETH,2021/09/28,,,,
Ethalien,9.39 ETH,202,352.75 ETH,4701,0.05 ETH,7500,1619,21.59%,348.76 ETH,2021/10/16,,,,
PPPandas,0.19 ETH,17,351.60 ETH,3675,0.01 ETH,3999,1239,30.98%,43.82 ETH,2021/10/09,,,,
IMMORTALZ - Ambary Assassins,4.47 ETH,46,348.98 ETH,2511,0.10 ETH,4517,1913,42.35%,437.69 ETH,2021/12/08,,,,
Sneaky Bat Syndicate,3.86 ETH,56,348.77 ETH,1752,0.07 ETH,8293,2280,27.49%,582.14 ETH,2021/10/28,,,,
The League Of Sacred Devils,0.04 ETH,9,348.21 ETH,2798,0.01 ETH,10000,3649,36.49%,70.60 ETH,2021/09/10,,,,
Lazy Lions Bungalows,5.17 ETH,83,345.46 ETH,2098,0.06 ETH,10261,4171,40.65%,638.75 ETH,2021/10/20,,,,
Badass Bulls,0.33 ETH,9,341.71 ETH,3594,0.04 ETH,2222,1016,45.72%,82.68 ETH,2021/08/28,,,,
Basement Dwellers,0.39 ETH,50,338.63 ETH,3752,0.01 ETH,9851,3415,34.67%,76.79 ETH,2021/10/16,,,,
Misfit University,0.04 ETH,14,336.86 ETH,5549,0.00 ETH,10000,2384,23.84%,26.75 ETH,2021/07/15,,,,
Goblin Goons,0.05 ETH,3,330.84 ETH,5099,0.02 ETH,4713,1351,28.67%,73.05 ETH,2021/07/19,,,,
